Trace	Run Date
1	2011-09-01T15:12:23:000
2	2011-09-01T16:12:23:000
3	2011-09-07T16:03:38:000
4	2011-09-07T16:18:01:000
5	2011-09-07T18:18:01:000
6	2011-09-07T19:18:01:000
7	2011-09-08T01:18:01:000
8	2011-09-08T05:18:02:000
9	2011-09-08T07:18:02:000
10	2011-09-08T08:18:02:000
11	2011-09-08T09:18:02:000
12	2011-09-08T10:18:02:000
13	2011-09-08T11:18:02:000
14	2011-09-08T13:18:02:000
15	2011-09-08T14:18:02:000
16	2011-09-08T15:18:02:000
17	2011-09-08T16:18:02:000
18	2011-09-08T17:18:02:000
19	2011-09-08T18:18:02:000
20	2011-09-08T19:18:02:000
21	2011-09-08T20:18:02:000
22	2011-09-08T21:18:03:000
23	2011-09-08T22:18:03:000
24	2011-09-08T23:18:03:000
25	2011-09-09T00:18:03:000
26	2011-09-09T01:18:03:000
27	2011-09-09T02:18:03:000
28	2011-09-09T03:18:03:000
29	2011-09-09T04:18:03:000
30	2011-09-09T05:18:03:000
31	2011-09-09T10:18:03:000
32	2011-09-09T13:18:04:000
33	2011-09-09T14:18:04:000
34	2011-09-09T15:18:04:000
35	2011-09-09T16:18:04:000
36	2011-09-09T17:18:04:000
37	2011-09-09T18:18:04:000
38	2011-09-09T19:18:04:000
39	2011-09-09T20:18:04:000
40	2011-09-09T21:18:04:000
41	2011-09-09T22:18:04:000
42	2011-09-09T23:18:04:000
43	2011-09-10T00:18:04:000
44	2011-09-10T01:18:04:000
45	2011-09-10T02:18:05:000
46	2011-09-10T03:18:05:000
47	2011-09-10T04:18:05:000
48	2011-09-10T05:18:05:000
49	2011-09-10T06:18:05:000
50	2011-09-10T07:18:05:000
51	2011-09-10T08:18:05:000
52	2011-09-10T09:18:05:000
53	2011-09-10T10:18:05:000
54	2011-09-10T11:18:05:000
55	2011-09-10T12:18:05:000
56	2011-09-10T13:18:05:000
57	2011-09-10T14:18:05:000
58	2011-09-10T15:18:05:000
59	2011-09-10T16:18:05:000
60	2011-09-10T17:18:06:000
61	2011-09-10T18:18:06:000
62	2011-09-10T19:18:06:000
63	2011-09-10T20:18:06:000
64	2011-09-10T21:18:06:000
65	2011-09-10T22:18:06:000
66	2011-09-11T02:18:06:000
67	2011-09-11T04:18:06:000
68	2011-09-11T05:18:06:000
69	2011-09-11T06:18:06:000
70	2011-09-11T07:18:07:000
71	2011-09-11T08:18:07:000
72	2011-09-11T09:18:07:000
73	2011-09-11T10:18:07:000
74	2011-09-11T11:18:07:000
75	2011-09-11T12:18:07:000
76	2011-09-11T13:18:07:000
77	2011-09-11T14:18:07:000
78	2011-09-11T15:18:07:000
79	2011-09-11T18:18:07:000
80	2011-09-11T20:18:07:000
81	2011-09-11T22:18:07:000
82	2011-09-12T02:18:08:000
83	2011-09-12T04:18:08:000
84	2011-09-12T05:18:08:000
85	2011-09-12T10:18:08:000
86	2011-09-12T14:18:08:000
87	2011-09-12T15:18:09:000
88	2011-09-12T16:18:09:000
89	2011-09-12T17:18:09:000
90	2011-09-12T18:18:09:000
91	2011-09-12T19:18:09:000
92	2011-09-12T20:18:09:000
93	2011-09-12T22:18:09:000
94	2011-09-12T23:18:09:000
95	2011-09-13T02:18:09:000
96	2011-09-13T05:18:09:000
97	2011-09-13T06:18:10:000
98	2011-09-13T07:18:10:000
99	2011-09-13T08:18:10:000
100	2011-09-13T09:18:10:000
101	2011-09-13T10:18:10:000
102	2011-09-13T11:18:10:000
103	2011-09-13T12:18:10:000
104	2011-09-13T13:18:10:000
105	2011-09-13T14:18:10:000
106	2011-09-13T15:18:10:000
107	2011-09-13T16:18:10:000
108	2011-09-13T17:18:10:000
109	2011-09-13T18:18:10:000
110	2011-09-13T19:18:10:000
111	2011-09-13T20:18:10:000
112	2011-09-13T21:18:11:000
113	2011-09-13T22:18:11:000
114	2011-09-13T23:18:11:000
115	2011-09-14T00:18:11:000
116	2011-09-14T01:18:11:000
117	2011-09-14T02:18:11:000
118	2011-09-14T03:18:11:000
119	2011-09-14T04:18:11:000
120	2011-09-14T05:18:11:000
121	2011-09-14T06:18:11:000
122	2011-09-14T07:18:11:000
123	2011-09-14T08:18:11:000
124	2011-09-14T09:18:11:000
125	2011-09-14T10:18:11:000
126	2011-09-14T11:18:11:000
127	2011-09-14T12:18:11:000
128	2011-09-14T13:18:12:000
129	2011-09-14T14:18:12:000
130	2011-09-14T15:18:12:000
131	2011-09-14T16:18:12:000
132	2011-09-14T17:18:12:000
133	2011-09-14T18:18:12:000
134	2011-09-14T19:18:12:000
135	2011-09-14T20:18:12:000
136	2011-09-14T23:18:12:000
137	2011-09-15T03:18:12:000
138	2011-09-15T05:18:13:000
139	2011-09-15T10:18:13:000
140	2011-09-15T11:18:13:000
141	2011-09-15T12:18:13:000
142	2011-09-15T13:18:13:000
143	2011-09-15T15:18:13:000
144	2011-09-15T16:18:13:000
145	2011-09-15T17:18:13:000
146	2011-09-15T18:18:13:000
147	2011-09-15T19:18:13:000
148	2011-09-15T20:18:14:000
149	2011-09-15T21:18:14:000
150	2011-09-15T22:18:14:000
151	2011-09-16T00:18:14:000
152	2011-09-16T04:18:14:000
153	2011-09-16T05:18:14:000
154	2011-09-16T06:18:14:000
155	2011-09-16T07:18:14:000
156	2011-09-16T08:18:14:000
157	2011-09-16T09:18:14:000
158	2011-09-16T10:18:14:000
159	2011-09-16T11:18:14:000
160	2011-09-16T12:18:15:000
161	2011-09-16T13:18:15:000
162	2011-09-16T14:18:15:000
163	2011-09-16T15:18:15:000
164	2011-09-16T17:18:15:000
165	2011-09-16T18:18:15:000
166	2011-09-16T22:18:15:000
167	2011-09-17T03:18:16:000
168	2011-09-17T04:18:16:000
169	2011-09-17T10:18:16:000
170	2011-09-17T11:18:16:000
171	2011-09-17T13:18:16:000
172	2011-09-17T14:18:16:000
173	2011-09-17T15:18:16:000
174	2011-09-17T16:18:16:000
175	2011-09-17T17:18:17:000
176	2011-09-17T18:18:17:000
177	2011-09-17T19:18:17:000
178	2011-09-17T20:18:17:000
179	2011-09-17T21:18:17:000
180	2011-09-17T22:18:17:000
181	2011-09-17T23:18:17:000
182	2011-09-18T00:18:17:000
183	2011-09-18T01:18:17:000
184	2011-09-18T02:18:17:000
185	2011-09-18T03:18:17:000
186	2011-09-18T04:18:17:000
187	2011-09-18T05:18:17:000
188	2011-09-18T10:18:18:000
189	2011-09-18T14:18:18:000
190	2011-09-18T15:18:18:000
191	2011-09-18T16:18:18:000
192	2011-09-18T18:18:18:000
193	2011-09-18T22:18:18:000
194	2011-09-19T03:18:19:000
195	2011-09-19T04:18:19:000
196	2011-09-19T08:18:19:000
197	2011-09-19T09:18:19:000
198	2011-09-19T10:18:19:000
199	2011-09-19T11:18:19:000
200	2011-09-19T14:18:19:000
201	2011-09-19T15:18:19:000
202	2011-09-19T16:18:20:000
203	2011-09-19T18:18:20:000
204	2011-09-19T21:18:20:000
205	2011-09-19T22:18:20:000
206	2011-09-19T23:18:20:000
207	2011-09-20T00:18:20:000
208	2011-09-20T01:18:20:000
209	2011-09-20T02:18:20:000
210	2011-09-20T03:18:20:000
211	2011-09-20T04:18:20:000
212	2011-09-20T05:18:20:000
213	2011-09-20T06:18:20:000
214	2011-09-20T07:18:20:000
215	2011-09-20T08:18:21:000
216	2011-09-20T09:18:21:000
217	2011-09-20T10:18:21:000
218	2011-09-20T11:18:21:000
219	2011-09-20T12:18:21:000
220	2011-09-20T13:18:21:000
221	2011-09-20T14:18:21:000
222	2011-09-20T15:18:21:000
223	2011-09-20T16:18:21:000
224	2011-09-20T17:18:21:000
225	2011-09-20T18:18:21:000
226	2011-09-20T19:18:21:000
227	2011-09-20T20:18:21:000
228	2011-09-20T21:18:21:000
229	2011-09-20T22:18:21:000
230	2011-09-20T23:18:22:000
231	2011-09-21T01:18:22:000
232	2011-09-21T02:18:22:000
233	2011-09-21T03:18:22:000
234	2011-09-21T04:18:22:000
235	2011-09-21T05:18:22:000
236	2011-09-21T06:18:22:000
237	2011-09-21T07:18:22:000
238	2011-09-21T08:18:22:000
239	2011-09-21T09:18:22:000
240	2011-09-21T10:18:22:000
241	2011-09-21T11:18:22:000
242	2011-09-21T12:18:22:000
243	2011-09-21T13:18:23:000
244	2011-09-21T14:18:23:000
245	2011-09-21T15:18:23:000
246	2011-09-21T16:18:23:000
247	2011-09-21T17:18:23:000
248	2011-09-21T18:18:23:000
249	2011-09-21T19:18:23:000
250	2011-09-21T20:18:23:000
251	2011-09-21T21:18:23:000
252	2011-09-21T22:18:23:000
253	2011-09-21T23:18:23:000
254	2011-09-22T00:18:23:000
255	2011-09-22T01:18:23:000
256	2011-09-22T02:18:23:000
257	2011-09-22T03:18:23:000
258	2011-09-22T04:18:24:000
259	2011-09-22T05:18:24:000
260	2011-09-22T06:18:24:000
261	2011-09-22T07:18:24:000
262	2011-09-22T09:18:24:000
263	2011-09-22T10:18:24:000
264	2011-09-22T11:18:24:000
265	2011-09-22T12:18:24:000
266	2011-09-22T13:18:24:000
267	2011-09-22T14:18:24:000
268	2011-09-22T15:18:24:000
269	2011-09-22T16:18:24:000
270	2011-09-22T17:18:24:000
271	2011-09-22T18:18:24:000
272	2011-09-22T19:18:24:000
273	2011-09-22T20:18:25:000
274	2011-09-22T21:18:25:000
275	2011-09-22T22:18:25:000
276	2011-09-22T23:18:25:000
277	2011-09-23T00:18:25:000
278	2011-09-23T01:18:25:000
279	2011-09-23T02:18:25:000
280	2011-09-23T03:18:25:000
281	2011-09-23T04:18:25:000
282	2011-09-23T05:18:25:000
283	2011-09-23T06:18:25:000
284	2011-09-23T07:18:25:000
285	2011-09-23T08:18:25:000
286	2011-09-23T09:18:25:000
287	2011-09-23T10:18:25:000
288	2011-09-23T11:18:26:000
289	2011-09-23T12:18:26:000
290	2011-09-23T13:18:26:000
291	2011-09-23T14:18:26:000
292	2011-09-23T15:18:26:000
293	2011-09-23T16:18:26:000
294	2011-09-23T18:18:26:000
295	2011-09-23T23:18:26:000
296	2011-09-24T00:18:26:000
297	2011-09-24T01:18:26:000
298	2011-09-24T05:18:27:000
299	2011-09-24T10:18:27:000
300	2011-09-24T11:18:27:000
301	2011-09-24T13:18:27:000
302	2011-09-24T14:18:27:000
303	2011-09-24T15:18:27:000
304	2011-09-24T16:18:27:000
305	2011-09-24T17:18:27:000
306	2011-09-24T18:18:28:000
307	2011-09-24T20:18:28:000
308	2011-09-24T22:18:28:000
309	2011-09-24T23:18:28:000
310	2011-09-25T02:18:28:000
311	2011-09-25T03:18:28:000
312	2011-09-25T05:18:28:000
313	2011-09-25T10:18:29:000
314	2011-09-25T11:18:29:000
315	2011-09-25T13:18:29:000
316	2011-09-25T14:18:29:000
317	2011-09-25T15:18:29:000
318	2011-09-25T16:18:29:000
319	2011-09-25T17:18:29:000
320	2011-09-25T18:18:29:000
321	2011-09-25T19:18:29:000
322	2011-09-25T20:18:29:000
323	2011-09-25T22:18:29:000
324	2011-09-26T00:18:30:000
325	2011-09-26T10:18:30:000
326	2011-09-26T11:18:30:000
327	2011-09-26T14:18:30:000
328	2011-09-26T15:18:30:000
329	2011-09-26T16:18:31:000
330	2011-09-26T22:18:31:000
331	2011-09-27T03:18:31:000
332	2011-09-27T05:18:31:000
333	2011-09-27T06:18:31:000
334	2011-09-27T07:18:32:000
335	2011-09-27T08:18:32:000
336	2011-09-27T09:18:32:000
337	2011-09-27T10:18:32:000
338	2011-09-27T11:18:32:000
339	2011-09-27T13:18:32:000
340	2011-09-27T14:18:32:000
341	2011-09-27T15:18:32:000
342	2011-09-27T16:18:32:000
343	2011-09-27T17:18:32:000
344	2011-09-27T18:18:32:000
345	2011-09-27T22:18:33:000
346	2011-09-28T03:18:33:000
347	2011-09-28T04:18:33:000
348	2011-09-28T05:18:33:000
349	2011-09-28T06:18:33:000
350	2011-09-28T07:18:33:000
351	2011-09-28T08:18:33:000
352	2011-09-28T09:18:33:000
353	2011-09-28T10:18:33:000
354	2011-09-28T11:18:33:000
355	2011-09-28T12:18:33:000
356	2011-09-28T13:18:34:000
357	2011-09-28T14:18:34:000
358	2011-09-28T15:18:34:000
359	2011-09-28T16:18:34:000
360	2011-09-28T17:18:34:000
361	2011-09-28T18:18:34:000
362	2011-09-28T19:18:34:000
363	2011-09-28T20:18:34:000
364	2011-09-28T21:18:34:000
365	2011-09-28T22:18:34:000
366	2011-09-28T23:18:34:000
367	2011-09-29T00:18:34:000
368	2011-09-29T01:18:34:000
369	2011-09-29T02:18:34:000
370	2011-09-29T03:18:35:000
371	2011-09-29T04:18:35:000
372	2011-09-29T05:18:35:000
373	2011-09-29T06:18:35:000
374	2011-09-29T07:18:35:000
375	2011-09-29T08:18:35:000
376	2011-09-29T09:18:35:000
377	2011-09-29T10:18:35:000
378	2011-09-29T11:18:35:000
379	2011-09-29T12:18:35:000
380	2011-09-29T13:18:35:000
381	2011-09-29T14:18:35:000
382	2011-09-29T15:18:35:000
383	2011-09-29T16:18:35:000
384	2011-09-29T17:18:35:000
385	2011-09-29T18:18:36:000
386	2011-09-29T19:18:36:000
387	2011-09-29T20:18:36:000
388	2011-09-29T21:18:36:000
389	2011-09-29T22:18:36:000
390	2011-09-29T23:18:36:000
391	2011-09-30T00:18:36:000
392	2011-09-30T01:18:36:000
393	2011-09-30T02:18:36:000
394	2011-09-30T03:18:36:000
395	2011-09-30T04:18:36:000
396	2011-09-30T05:18:36:000
397	2011-09-30T06:18:36:000
398	2011-09-30T07:18:36:000
399	2011-09-30T08:18:36:000
400	2011-09-30T09:18:36:000
401	2011-09-30T10:18:36:000
402	2011-09-30T11:18:37:000
403	2011-09-30T12:18:37:000
404	2011-09-30T13:18:37:000
405	2011-09-30T14:18:37:000
406	2011-09-30T15:18:37:000
407	2011-09-30T16:18:37:000
408	2011-09-30T17:18:37:000
409	2011-09-30T18:18:37:000
410	2011-09-30T19:18:37:000
411	2011-09-30T20:18:37:000
412	2011-09-30T21:18:37:000
413	2011-09-30T22:18:37:000
414	2011-09-30T23:18:37:000
415	2011-10-01T03:18:38:000
416	2011-10-01T04:18:38:000
417	2011-10-01T10:18:38:000
418	2011-10-01T11:18:38:000
419	2011-10-01T13:18:38:000
420	2011-10-01T14:18:38:000
421	2011-10-01T15:18:38:000
422	2011-10-01T16:18:38:000
423	2011-10-01T17:18:39:000
424	2011-10-01T18:18:39:000
425	2011-10-01T19:18:39:000
426	2011-10-01T20:18:39:000
427	2011-10-01T21:18:39:000
428	2011-10-01T22:18:39:000
429	2011-10-01T23:18:39:000
430	2011-10-02T00:18:39:000
431	2011-10-02T01:18:39:000
432	2011-10-02T03:18:39:000
433	2011-10-02T04:18:39:000
434	2011-10-02T05:18:39:000
435	2011-10-02T06:18:39:000
436	2011-10-02T08:18:39:000
437	2011-10-02T11:18:40:000
438	2011-10-02T17:18:40:000
439	2011-10-02T19:18:40:000
440	2011-10-02T20:18:40:000
441	2011-10-02T23:18:40:000
442	2011-10-03T05:18:41:000
443	2011-10-03T11:18:41:000
444	2011-10-03T12:18:41:000
445	2011-10-03T14:18:41:000
446	2011-10-03T17:18:42:000
447	2011-10-04T00:18:42:000
448	2011-10-04T05:18:42:000
449	2011-10-04T11:18:43:000
450	2011-10-04T17:18:43:000
451	2011-10-04T18:18:43:000
452	2011-10-04T19:18:43:000
453	2011-10-04T20:18:43:000
454	2011-10-04T21:18:43:000
455	2011-10-04T22:18:43:000
456	2011-10-04T23:18:43:000
457	2011-10-05T05:18:44:000
458	2011-10-05T11:18:44:000
459	2011-10-05T15:18:45:000
460	2011-10-05T16:18:45:000
461	2011-10-05T17:18:45:000
462	2011-10-05T19:18:45:000
463	2011-10-05T23:18:45:000
464	2011-10-06T05:18:45:000
465	2011-10-06T11:18:46:000
466	2011-10-06T14:18:46:000
467	2011-10-06T15:18:46:000
468	2011-10-06T16:18:46:000
469	2011-10-06T17:18:46:000
470	2011-10-06T18:18:46:000
471	2011-10-06T19:18:46:000
472	2011-10-06T20:18:46:000
